GemeentecodeGM,Regio’s,Personen,Personen met persoonlijk inkomen,Aandeel personen,Gemiddeld gestandaardiseerd inkomen,Mediaan gestandaardiseerd inkomen,Gemiddeld persoonlijk inkomen,Mediaan persoonlijk inkomen
GM0994,Valkenburg aan de Geul,"15,9","13,7",100,"36,1","32,3","34,8","26,9"
GM0858,Valkenswaard,"30,8",26,100,"36,3","32,5","34,8","27,4"
GM0047,Veendam,27,"22,2",100,"30,9",29,30,"24,7"
GM0345,Veenendaal,"65,9","52,2",100,"34,9","32,1","34,2","27,7"
GM0717,Veere,"21,6","17,9",100,"38,7","33,9","34,6",27
GM0861,Veldhoven,"44,7","36,7",100,"38,6","34,8","39,1","30,3"
GM0453,Velsen,"67,6","55,8",100,"36,1","33,3","35,9","28,7"
GM0983,Venlo,100,"83,6",100,"32,3","29,8","31,1","25,3"
GM0984,Venray,"42,7","36,1",100,"35,4","32,7","33,2","27,2"
GM1961,Vijfheerenlanden,"56,9","45,5",100,"36,4","33,5","35,4","28,7"
GM0622,Vlaardingen,"72,4","58,4",100,"32,4","30,1","33,4","27,2"
GM0096,Vlieland,"1,1",1,100,.,31,.,"26,9"
GM0718,Vlissingen,"43,5","36,4",100,"31,4","29,7","31,3","25,6"
GM0986,Voerendaal,"12,3","10,3",100,"36,7","33,9","35,9","28,6"
GM1992,Voorne aan Zee,"71,6",59,100,"40,9",36,"40,7","31,4"
GM0626,Voorschoten,"25,1","19,9",100,"42,3","37,7","43,9","34,1"
GM0285,Voorst,24,"19,8",100,"38,3",34,"35,3","28,1"
GM0865,Vught,"30,5","24,5",100,"45,8","37,4","43,7","32,3"
GM1949,Waadhoeke,"45,2","37,1",100,"32,5","30,6","30,5","25,8"
GM0866,Waalre,"17,4",14,100,"46,7","38,1",45,"32,8"
GM0867,Waalwijk,"48,1","39,8",100,"35,2",32,"33,4",27
GM0627,Waddinxveen,"30,1",24,100,"36,6","33,8","36,2","30,1"
GM0289,Wageningen,"36,7","29,8",100,"30,5","28,7","32,5","25,7"
GM0629,Wassenaar,"26,1","19,7",100,"56,4","38,2","60,8","31,5"
GM0852,Waterland,"17,2",14,100,"42,5","36,4",41,"30,6"
GM0988,Weert,49,"41,1",100,"35,6","32,5","33,8","27,1"
GM1960,West Betuwe,"50,8",41,100,40,"35,3","37,1","29,4"
GM0668,West Maas en Waal,"19,2",16,100,"36,9","34,1","34,9","28,2"
GM1969,Westerkwartier,"62,5","50,1",100,"34,6","32,1","33,1","27,8"
GM1701,Westerveld,"19,1","16,2",100,"37,2","33,2","34,2","27,2"
GM0293,Westervoort,"14,8","12,2",100,33,"31,1","32,8","27,9"
GM1950,Westerwolde,"24,2","20,3",100,"31,9","29,5","29,7","24,4"
GM1783,Westland,"109,7","90,1",100,"38,8","35,1","35,6","28,8"
GM0098,Weststellingwerf,"25,6",21,100,"32,7","30,3","30,5","25,6"
GM0189,Wierden,"24,3","19,8",100,"38,8","34,6","34,7","28,3"
GM0296,Wijchen,"40,7","33,7",100,"36,8","33,7","35,3","28,3"
GM1696,Wijdemeren,"24,2","19,8",100,44,"36,9","41,9","30,6"
GM0352,Wijk bij Duurstede,"23,7","19,5",100,"38,8","35,1","37,7","30,6"
GM0294,Winterswijk,"28,4","23,9",100,"33,9","30,8","30,6","25,1"
GM0873,Woensdrecht,"21,6","17,6",100,"34,9","32,5","34,7","27,7"
GM0632,Woerden,52,"41,8",100,40,"35,8","39,3","31,3"
GM1690,De Wolden,"23,9","19,9",100,37,34,"34,1","27,9"
GM0880,Wormerland,"16,2","13,5",100,"37,7",34,"35,7","28,7"
GM0351,Woudenberg,"13,3","10,4",100,"38,8",35,"36,9","29,9"
GM0479,Zaanstad,"154,5","124,9",100,"33,7","31,5",34,28
GM0297,Zaltbommel,"29,1","23,1",100,"37,1","33,2","35,5","27,7"
GM0473,Zandvoort,"16,7",14,100,"40,4","32,6","38,1","27,4"
GM0050,Zeewolde,"22,7","18,3",100,"37,8","33,7",37,30
GM0355,Zeist,"62,5","49,6",100,"42,6","35,3","43,5","30,7"
GM0299,Zevenaar,"43,5","36,4",100,"33,4","31,1","32,2","26,9"
GM0637,Zoetermeer,"124,2","99,9",100,35,33,"36,4","30,5"
